age	workclass	education	education-num	marital-status	occupation	relationship	race	sex	hours-per-week	native-country	income
(29.0, 39.0]	?	7th-8th	4	Married-spouse-absent	?	Not-in-family	White	Male	normal	?	<=50K
(39.0, 49.0]	Private	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	>50K
(19.0, 29.0]	Private	Some-college	10	Divorced	Tech-support	Not-in-family	White	Male	hard	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Divorced	Adm-clerical	Not-in-family	White	Female	normal	United-States	<=50K
(49.0, 59.0]	Private	HS-grad	9	Married-civ-spouse	Adm-clerical	Wife	White	Female	normal	United-States	>50K
(39.0, 49.0]	Self-emp-inc	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	normal	United-States	>50K
(19.0, 29.0]	?	Some-college	10	Never-married	?	Own-child	White	Male	normal	United-States	<=50K
(-inf, 19.0]	Private	Some-college	10	Never-married	Prof-specialty	Own-child	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Separated	Sales	Own-child	Black	Female	normal	United-States	<=50K
(19.0, 29.0]	Self-emp-not-inc	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	hard	United-States	>50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Machine-op-inspct	Not-in-family	White	Male	normal	United-States	<=50K
(69.0, 79.0]	Private	Some-college	10	Married-civ-spouse	Prof-specialty	Other-relative	White	Male	less	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Other-service	Own-child	White	Male	normal	Mexico	<=50K
(39.0, 49.0]	Private	Assoc-acdm	12	Married-civ-spouse	Adm-clerical	Husband	White	Male	normal	United-States	<=50K
(59.0, 69.0]	?	10th	6	Married-civ-spouse	?	Husband	White	Male	chill	United-States	<=50K
(-inf, 19.0]	Private	11th	7	Never-married	Other-service	Own-child	White	Female	less	United-States	<=50K
(29.0, 39.0]	Local-gov	7th-8th	4	Married-civ-spouse	Farming-fishing	Husband	White	Male	normal	United-States	<=50K
(-inf, 19.0]	Private	HS-grad	9	Never-married	Sales	Not-in-family	White	Male	less	United-States	<=50K
(49.0, 59.0]	Private	Bachelors	13	Married-civ-spouse	Other-service	Husband	White	Male	normal	Cuba	<=50K
(39.0, 49.0]	Private	HS-grad	9	Married-civ-spouse	Other-service	Wife	White	Female	normal	United-States	<=50K
(49.0, 59.0]	Private	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	HS-grad	9	Divorced	Craft-repair	Not-in-family	White	Female	normal	United-States	>50K
(49.0, 59.0]	Private	HS-grad	9	Divorced	Sales	Own-child	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Local-gov	HS-grad	9	Married-civ-spouse	Protective-serv	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	9th	5	Never-married	Sales	Not-in-family	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Federal-gov	Doctorate	16	Never-married	Prof-specialty	Not-in-family	White	Female	normal	United-States	>50K
(49.0, 59.0]	Private	Assoc-voc	11	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	Some-college	10	Divorced	Craft-repair	Unmarried	White	Female	normal	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Divorced	Machine-op-inspct	Unmarried	Black	Female	less	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Married-civ-spouse	Sales	Wife	Asian-Pac-Islander	Female	normal	?	<=50K
(29.0, 39.0]	Local-gov	Bachelors	13	Married-civ-spouse	Protective-serv	Husband	White	Male	normal	United-States	>50K
(19.0, 29.0]	Local-gov	Some-college	10	Never-married	Handlers-cleaners	Not-in-family	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Self-emp-not-inc	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	hard	United-States	>50K
(29.0, 39.0]	Private	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	>50K
(39.0, 49.0]	Private	Assoc-acdm	12	Divorced	Exec-managerial	Unmarried	White	Female	normal	England	<=50K
(29.0, 39.0]	Federal-gov	HS-grad	9	Never-married	Other-service	Own-child	Black	Male	normal	United-States	<=50K
(69.0, 79.0]	Private	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	normal	United-States	>50K
(39.0, 49.0]	Private	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	hard	United-States	>50K
(39.0, 49.0]	Self-emp-not-inc	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Female	normal	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Tech-support	Own-child	White	Female	normal	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Craft-repair	Not-in-family	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Self-emp-inc	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	>50K
(-inf, 19.0]	?	10th	6	Never-married	?	Own-child	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	11th	7	Never-married	Handlers-cleaners	Own-child	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Local-gov	HS-grad	9	Never-married	Adm-clerical	Not-in-family	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Private	HS-grad	9	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Bachelors	13	Never-married	Sales	Other-relative	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	>50K
(49.0, 59.0]	Self-emp-not-inc	HS-grad	9	Married-civ-spouse	Other-service	Husband	White	Male	normal	Canada	>50K
(19.0, 29.0]	Private	Some-college	10	Married-civ-spouse	Sales	Wife	White	Female	less	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Never-married	Machine-op-inspct	Own-child	White	Female	normal	United-States	<=50K
(49.0, 59.0]	Private	9th	5	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Self-emp-inc	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Local-gov	Assoc-voc	11	Married-civ-spouse	Craft-repair	Husband	Black	Male	normal	United-States	>50K
(49.0, 59.0]	Private	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	hard	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Craft-repair	Not-in-family	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Other-service	Own-child	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Private	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	hard	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Never-married	Exec-managerial	Own-child	Black	Male	normal	Germany	<=50K
(19.0, 29.0]	State-gov	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	>50K
(-inf, 19.0]	Private	Some-college	10	Never-married	Other-service	Own-child	Black	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	Bachelors	13	Married-civ-spouse	Exec-managerial	Wife	White	Female	normal	United-States	>50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Adm-clerical	Own-child	White	Female	less	United-States	<=50K
(29.0, 39.0]	Private	Assoc-acdm	12	Married-civ-spouse	Adm-clerical	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	?	HS-grad	9	Married-civ-spouse	?	Husband	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	Some-college	10	Divorced	Craft-repair	Not-in-family	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Assoc-acdm	12	Never-married	Sales	Not-in-family	White	Female	hard	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Other-service	Not-in-family	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Self-emp-not-inc	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	Assoc-acdm	12	Divorced	Tech-support	Not-in-family	Black	Female	normal	United-States	<=50K
(29.0, 39.0]	Federal-gov	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	Iran	>50K
(39.0, 49.0]	Self-emp-not-inc	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	hard	United-States	<=50K
(19.0, 29.0]	Private	Assoc-voc	11	Married-civ-spouse	Adm-clerical	Wife	White	Female	normal	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Sales	Own-child	White	Male	less	United-States	<=50K
(39.0, 49.0]	Private	Some-college	10	Married-civ-spouse	Craft-repair	Husband	Asian-Pac-Islander	Male	normal	United-States	>50K
(59.0, 69.0]	Self-emp-inc	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Sales	Own-child	White	Female	normal	United-States	<=50K
(-inf, 19.0]	Private	Some-college	10	Never-married	Other-service	Own-child	White	Male	less	Mexico	<=50K
(39.0, 49.0]	Private	Assoc-voc	11	Never-married	Prof-specialty	Not-in-family	White	Female	normal	United-States	>50K
(69.0, 79.0]	Private	Some-college	10	Never-married	Tech-support	Other-relative	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Never-married	Transport-moving	Unmarried	Black	Female	less	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Married-civ-spouse	Other-service	Husband	White	Male	less	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Widowed	Other-service	Unmarried	White	Female	less	United-States	<=50K
(59.0, 69.0]	Private	11th	7	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	?	Some-college	10	Divorced	?	Not-in-family	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Local-gov	Some-college	10	Divorced	Adm-clerical	Unmarried	White	Female	normal	Mexico	<=50K
(29.0, 39.0]	Private	HS-grad	9	Never-married	Adm-clerical	Not-in-family	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Never-married	Exec-managerial	Other-relative	Asian-Pac-Islander	Female	normal	Philippines	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Craft-repair	Own-child	White	Male	normal	United-States	<=50K
(49.0, 59.0]	?	HS-grad	9	Divorced	?	Not-in-family	White	Male	normal	United-States	>50K
(39.0, 49.0]	Private	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Bachelors	13	Never-married	Handlers-cleaners	Not-in-family	White	Male	normal	United-States	<=50K
(69.0, 79.0]	Self-emp-not-inc	Some-college	10	Separated	Sales	Unmarried	Black	Male	chill	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Divorced	Craft-repair	Not-in-family	White	Male	hard	United-States	<=50K
(39.0, 49.0]	Private	Bachelors	13	Separated	Other-service	Other-relative	Black	Male	normal	United-States	<=50K
(59.0, 69.0]	?	1st-4th	2	Divorced	?	Not-in-family	White	Female	less	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Other-service	Unmarried	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Self-emp-inc	Masters	14	Divorced	Exec-managerial	Unmarried	Asian-Pac-Islander	Female	normal	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Exec-managerial	Not-in-family	Asian-Pac-Islander	Female	normal	England	<=50K
(39.0, 49.0]	Self-emp-not-inc	Masters	14	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	Some-college	10	Divorced	Other-service	Unmarried	White	Female	normal	Mexico	<=50K
(29.0, 39.0]	Federal-gov	Assoc-acdm	12	Never-married	Exec-managerial	Not-in-family	White	Male	normal	United-States	<=50K
(39.0, 49.0]	State-gov	Masters	14	Widowed	Protective-serv	Unmarried	White	Male	normal	United-States	<=50K
(-inf, 19.0]	Private	11th	7	Never-married	Handlers-cleaners	Own-child	White	Male	less	United-States	<=50K
(59.0, 69.0]	Local-gov	Assoc-voc	11	Widowed	Prof-specialty	Not-in-family	White	Female	less	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Other-service	Not-in-family	White	Male	normal	United-States	<=50K
(19.0, 29.0]	State-gov	HS-grad	9	Married-civ-spouse	Protective-serv	Husband	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Private	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	>50K
(19.0, 29.0]	Private	Bachelors	13	Never-married	Craft-repair	Not-in-family	White	Male	normal	United-States	<=50K
(19.0, 29.0]	State-gov	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	>50K
(19.0, 29.0]	Private	HS-grad	9	Married-spouse-absent	Sales	Unmarried	White	Female	less	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Craft-repair	Own-child	Black	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Never-married	Handlers-cleaners	Not-in-family	Black	Male	normal	United-States	<=50K
(-inf, 19.0]	Private	HS-grad	9	Never-married	Other-service	Own-child	White	Male	less	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	hard	United-States	<=50K
(39.0, 49.0]	Local-gov	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	Black	Male	normal	United-States	>50K
(39.0, 49.0]	Private	Some-college	10	Divorced	Adm-clerical	Not-in-family	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	Some-college	10	Never-married	Craft-repair	Not-in-family	Black	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	7th-8th	4	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	normal	Mexico	>50K
(29.0, 39.0]	Federal-gov	Some-college	10	Married-civ-spouse	Adm-clerical	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	Black	Male	normal	United-States	<=50K
(39.0, 49.0]	Self-emp-not-inc	Bachelors	13	Divorced	Exec-managerial	Not-in-family	White	Female	normal	United-States	<=50K
(49.0, 59.0]	?	Bachelors	13	Divorced	?	Not-in-family	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	Masters	14	Married-civ-spouse	Prof-specialty	Wife	White	Female	normal	United-States	<=50K
(49.0, 59.0]	State-gov	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	chill	United-States	>50K
(29.0, 39.0]	Private	Some-college	10	Divorced	Machine-op-inspct	Not-in-family	Black	Female	less	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Local-gov	Bachelors	13	Married-civ-spouse	Craft-repair	Husband	Black	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	Some-college	10	Married-civ-spouse	Tech-support	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Federal-gov	Bachelors	13	Married-civ-spouse	Tech-support	Husband	White	Male	less	United-States	<=50K
(19.0, 29.0]	Private	5th-6th	3	Married-civ-spouse	Transport-moving	Other-relative	White	Male	normal	Mexico	<=50K
(29.0, 39.0]	Private	Some-college	10	Divorced	Craft-repair	Not-in-family	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Federal-gov	Masters	14	Never-married	Exec-managerial	Not-in-family	White	Female	hard	United-States	>50K
(29.0, 39.0]	Private	Masters	14	Married-civ-spouse	Prof-specialty	Other-relative	White	Male	normal	United-States	>50K
(19.0, 29.0]	Self-emp-not-inc	HS-grad	9	Never-married	Sales	Not-in-family	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Female	normal	United-States	<=50K
(-inf, 19.0]	?	HS-grad	9	Never-married	?	Own-child	White	Male	normal	Italy	<=50K
(49.0, 59.0]	Private	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	normal	United-States	>50K
(39.0, 49.0]	Local-gov	Some-college	10	Never-married	Prof-specialty	Not-in-family	White	Female	normal	United-States	<=50K
(29.0, 39.0]	State-gov	HS-grad	9	Divorced	Adm-clerical	Unmarried	White	Female	normal	United-States	<=50K
(-inf, 19.0]	Private	11th	7	Never-married	Sales	Own-child	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Married-civ-spouse	Other-service	Husband	Black	Male	normal	United-States	>50K
(29.0, 39.0]	Private	HS-grad	9	Divorced	Craft-repair	Not-in-family	White	Male	hard	United-States	<=50K
(49.0, 59.0]	Self-emp-inc	HS-grad	9	Married-civ-spouse	Sales	Wife	White	Female	normal	United-States	>50K
(-inf, 19.0]	Private	11th	7	Never-married	Sales	Own-child	White	Female	less	United-States	<=50K
(39.0, 49.0]	Local-gov	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	Black	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	Some-college	10	Never-married	Sales	Not-in-family	Amer-Indian-Eskimo	Female	normal	United-States	<=50K
(59.0, 69.0]	Private	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	Asian-Pac-Islander	Male	normal	United-States	<=50K
(49.0, 59.0]	Self-emp-inc	7th-8th	4	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	Bachelors	13	Never-married	Exec-managerial	Not-in-family	Black	Male	hard	United-States	>50K
(49.0, 59.0]	Private	Assoc-acdm	12	Divorced	Sales	Not-in-family	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	normal	Poland	<=50K
(39.0, 49.0]	Private	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	hard	United-States	<=50K
(19.0, 29.0]	Private	10th	6	Never-married	Craft-repair	Not-in-family	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	Some-college	10	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	normal	United-States	<=50K
(59.0, 69.0]	?	1st-4th	2	Divorced	?	Not-in-family	White	Male	normal	United-States	<=50K
(89.0, 99.0]	Private	HS-grad	9	Never-married	Other-service	Not-in-family	Black	Male	normal	United-States	<=50K
(49.0, 59.0]	Private	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	Black	Male	less	United-States	<=50K
(49.0, 59.0]	Local-gov	Preschool	1	Never-married	Machine-op-inspct	Not-in-family	White	Female	normal	United-States	<=50K
(-inf, 19.0]	Private	HS-grad	9	Never-married	Sales	Own-child	White	Female	normal	United-States	<=50K
(59.0, 69.0]	?	10th	6	Divorced	?	Not-in-family	Amer-Indian-Eskimo	Female	chill	United-States	<=50K
(59.0, 69.0]	Self-emp-not-inc	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	normal	United-States	<=50K
(69.0, 79.0]	Private	Assoc-voc	11	Widowed	Adm-clerical	Not-in-family	White	Female	less	Columbia	<=50K
(59.0, 69.0]	Private	HS-grad	9	Divorced	Adm-clerical	Not-in-family	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	11th	7	Separated	Transport-moving	Not-in-family	Black	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	HS-grad	9	Divorced	Sales	Unmarried	Black	Female	normal	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Adm-clerical	Not-in-family	White	Male	normal	United-States	<=50K
